entry_id,entry_1_id,entry_2_id
fusioncatcher/cmd,sourceforge/fusioncatcher/None/None,bioconda_recipes/fusioncatcher/cmd/1.33
binning/*,biotools/binning/undefined/None,github/binning/None/None
mir-prefer/cmd,biotools/mir-prefer/cmd/None,bioconda_recipes/mir-prefer/cmd/0.24
fraggenescan/cmd,galaxy/fraggenescan/cmd/1.30.0,bioconda_recipes/fraggenescan/cmd/1.31
ale/cmd,biotools/ale/cmd/None,bioconda_recipes/ale/cmd/20180904
pilon/cmd,galaxy/pilon/cmd/1.20.1,bioconda_recipes/pilon/cmd/1.24
piranha/cmd,galaxy/piranha/cmd/0.1.0,bioconda_recipes/piranha/cmd/1.2.1
mango/cmd,bioconda_recipes/mango/cmd/0.0.5,biotools/mango/cmd/None
bamhash/cmd,galaxy/bamhash/cmd/1.1,biotools/bamhash/cmd/None
transtermhp/cmd,galaxy/transtermhp/cmd/2.09.1,bioconda_recipes/transtermhp/cmd/2.09
modle/cmd,bioconda_recipes/modle/cmd/1.1.0,biotools/modle/cmd/None
mapsplice/cmd,bioconda_recipes/mapsplice/cmd/2.2.1,biotools/mapsplice/cmd/None
razers3/cmd,bioconda_recipes/razers3/cmd/3.5.8,biotools/razers3/cmd/None
edena/cmd,bioconda_recipes/edena/cmd/3.131028,biotools/edena/cmd/3
sortmerna/*,bioconda_recipes/sortmerna/cmd/4.3.6,biotools/sortmerna/cmd/None
gffread/cmd,galaxy/gffread/cmd/2.2.1.1,bioconda_recipes/gffread/cmd/0.12.7
agotool/soap,biotools/agotool/soap/0.1,biotools/agotool/soap/0.2
stringtie/cmd,galaxy/stringtie/cmd/1.3.3.1,bioconda_recipes/stringtie/cmd/2.2.1
xtandem/cmd,bioconda_recipes/xtandem/cmd/15.12.15.2,biotools/xtandem/cmd/None
hisat2/cmd,galaxy/hisat2/cmd/2.1.0,bioconda_recipes/hisat2/cmd/2.2.1
export2graphlan/cmd,bioconda_recipes/export2graphlan/cmd/0.22,galaxy/export2graphlan/cmd/0.19
pfp/cmd,biotools/pfp/cmd/None,bioconda_recipes/pfp/cmd/0.3.9
hardklor/cmd,galaxy/hardklor/cmd/2.30.1,bioconda_recipes/hardklor/cmd/2.3.2
bioconductor-deseq2/lib,galaxy/deseq2/cmd/2.11.40.2,bioconda_recipes/bioconductor-deseq2/lib/1.42.0
preseq/cmd,biotools/preseq/cmd/None,bioconda_recipes/preseq/cmd/3.2.0
mumer4/cmd,sourceforge/crass/None/None,biotools/mumer4/cmd/None
orientagraph/cmd,biotools/orientagraph/cmd/None,bioconda_recipes/orientagraph/cmd/1.1
biotransformer/*,bioconda_recipes/biotransformer/cmd/3.0.20230403,biotools/biotransformer/app/3.1.0
odamnet/cmd,biotools/odamnet/cmd/None,bioconda_recipes/odamnet/cmd/1.1.0
metacoag/cmd,biotools/metacoag/cmd/None,bioconda_recipes/metacoag/cmd/1.1.4
pegs/cmd,biotools/pegs/cmd/None,bioconda_recipes/pegs/cmd/0.6.6
cmfinder/cmd,galaxy/cmfinder/cmd/0.3,bioconda_recipes/cmfinder/cmd/0.4.1.9
drawcell/lib,biotools/drawcell/lib/1.0.1,bioconductor/drawcell/lib/0.99.0
ucsc-twobittofa/cmd,galaxy/ucsc-twobittofa/cmd/357,bioconda_recipes/ucsc-twobittofa/cmd/455
emmtyper/cmd,toolshed/emmtyper/cmd/0.1.0,bioconda_recipes/emmtyper/cmd/0.2.0
spades/cmd,galaxy/spades/cmd/3.11.1,bioconda_recipes/spades/cmd/3.15.5
minimap/cmd,galaxy/minimap2/cmd/2.5,bioconda_recipes/minimap/cmd/0.2_r124
ectyper/cmd,biotools/ectyper/cmd/None,bioconda_recipes/ectyper/cmd/1.0.0
bioconductor-mygene/lib,bioconda_recipes/mygene/lib/3.2.2,bioconda_recipes/bioconductor-mygene/lib/1.38.0
pyrpipe/cmd,biotools/pyrpipe/undefined/None,bioconda_recipes/pyrpipe/cmd/0.0.5
bioconductor-atsnp/lib,biotools/atsnp/lib/None,bioconda_recipes/bioconductor-atsnp/lib/1.18.0
expressionview/lib,biotools/expressionview/lib/1.26.0,bioconductor/expressionview/lib/1.45.0
cryfa/cmd,biotools/cryfa/cmd/None,bioconda_recipes/cryfa/cmd/20.04
gffcompare/cmd,galaxy/gffcompare/cmd/0.9.8,bioconda_recipes/gffcompare/cmd/0.12.6
kmc/cmd,bioconda_recipes/kmc/cmd/3.2.1,biotools/kmc/cmd/None
esco/lib,biotools/esco/lib/None,bioconductor/esco/lib/0.99.12
a5/cmd,bioconda_recipes/a5-miseq/cmd/20160825,biotools/a5/cmd/None
rcorrector/cmd,toolshed/rcorrector/cmd/1.0.3+galaxy1,bioconda_recipes/rcorrector/cmd/1.0.6
bioconductor-multiwgcna/lib,biotools/multiwgcna/lib/None,bioconda_recipes/bioconductor-multiwgcna/lib/1.0.0
bioconductor-dune/lib,biotools/dune/lib/None,bioconda_recipes/bioconductor-dune/lib/1.14.0
