entry_id,human_decision,human_confidence,human_rationale,hard
transtermhp/cmd,same,high,Same purpose and description and citation. ,FALSE
modle/cmd,same,high,Same description and repository,FALSE
mapsplice/cmd,same,low,Same purpose and lab. URLs not accessible.,TRUE
razers3/cmd,same,high,Same purpose and repositories (found inside webpage),FALSE
edena/cmd,same,low,"Same description and web, but inaccessible.",TRUE
sortmerna/*,same,low,Same description and one common inaccessible webpage,TRUE
gffread/cmd,different,medium,Different citation and authors,FALSE
agotool/soap,same,medium,"Same description, type and author. ",FALSE
stringtie/cmd,same,high,Common publication. Same documentation refered in galaxy text in readme,FALSE
xtandem/cmd,same,high,Same description and webpage,FALSE
hisat2/cmd,same,low,"Same description and authors. But one implementation seems posterior. However, the versions are the same ",TRUE
export2graphlan/cmd,same,medium,Same description and publication,FALSE
pfp/cmd,different,medium,Different purpose.,FALSE
hardklor/cmd,same,low,"Same purpose, but little info.",TRUE
bioconductor-deseq2/lib,same,medium,Same citation,FALSE
preseq/cmd,same,medium,Common author and description.,FALSE
mumer4/cmd,different,medium,"Different purpose, authors, etc",FALSE
orientagraph/cmd,same,high,Similar description and repository of 1 redirects to repository of 2.,FALSE
biotransformer/*,same,high,"Same purpose, common citation and repository of 2 found in webpage of 1",FALSE
odamnet/cmd,same,high,Same PyPI page and repository (found in webpage for 1),FALSE
metacoag/cmd,same,high,Similar description and repository of 1 redirects to repository of 2.,FALSE
pegs/cmd,same,high,Same purpose and common author. Webpage of 1 found in repository of 2.,FALSE
cmfinder/cmd,same,low,Purposes are similar and there is one shared author.,TRUE
drawcell/lib,different,low,Different description and different authors.,TRUE
ucsc-twobittofa/cmd,same,medium,Same purpose and both are ucsc tools,FALSE
emmtyper/cmd,same,low,Repo of 1 does not exist anymore but it is very similar to repository in 2,TRUE
spades/cmd,same,high,Same description and repository in 2 found in webpage of 1,FALSE
minimap/cmd,different,medium,"Different repositories. One is the successor of the other, but view by authors as different software.",FALSE
ectyper/cmd,same,high,Same purpose. Repository of 2 in webapge of 1.,FALSE
bioconductor-mygene/lib,different,medium,Same purposes but one is written in R and the other in R. Both access the same service.,FALSE
pyrpipe/cmd,same,high,"Same purpose, simliar descriptions and repository of 2 found in webpage of 1.",FALSE
bioconductor-atsnp/lib,same,medium,"Similar purpose, same author and publication",FALSE
expressionview/lib,same,medium,"Same purpose, programming language, maintainer and reference to biocoductor in 1.",FALSE
cryfa/cmd,same,medium,One repository a fork of the other.,FALSE
gffcompare/cmd,different,low,"One common author and same purpose, but different publications.",TRUE
kmc/cmd,same,high,Same description. Repository of 2 appers in website 1.,FALSE
esco/lib,same,low,"Similar purpose, same programming language. Author in 1 first author of publication of 2. ",TRUE
a5/cmd,same,low,Name of 1 included in website of 2. Same purpose,TRUE
rcorrector/cmd,different,low,Different repository and code. One seems a wrapper of the other.,TRUE
bioconductor-multiwgcna/lib,same,high,"Same purpose, simliar description, same citation and 1 refers to being in bioconductor (2)",FALSE
bioconductor-dune/lib,same,high,"Same purpose, simliar description, same citation and 1 refers to being in bioconductor (2)",FALSE
